roi_id,wafer,z_star,x,y,w,h,a,q_star,d,v,o,c,u_s,split,z_obs,R,mn_d,mn_v,mn_o,mn_c,m_bar,U_star
A_2_000,A,2,50.49105503482752,120.64152491663617,0.6368613107935253,1.6413079261663326,2.661853612118138,0.9899726198785141,70.1274270588969,2833.259466054645,30.89355462723452,0.23667590148701834,,train,2,0.18762307619539145,0.31741794614316143,0.09495639081645514,0.3441681127736498,0.22455511953693313,0.24527439231754988,0.6254494476076419
A_2_001,A,2,63.879983726313995,67.99790534670103,0.6223198607510394,0.5148160990487821,2.8702923946848657,0.9913462233959349,84.62285971202863,27394.567224531285,23.95456365276106,0.5021327886346312,,val,2,0.44099552167585687,0.39394381478370055,1.0,0.266064577182582,0.4974639047064109,0.5393680741681735,0.7616959385151331
A_2_002,A,2,25.416090081757275,117.52960374003459,0.4655841014245384,0.3548621459513186,3.81252982670853,0.9981185731486191,169.66486182257609,2443.248200240124,74.05126635133865,0.548364842380001,,val,2,0.4526487247605518,0.8429068252830232,0.08054071988266674,0.829940451442586,0.5449937833210232,0.5745954449823247,0.777627871861811
A_2_003,A,2,36.93528640255615,19.114614140780784,0.5416324107838464,0.6363169311380351,3.1554017225230173,0.9964986322602537,166.7905770933678,5349.6332514036485,29.396981918557977,0.011429105231549164,,val,2,0.4977561013124166,0.8277325879293435,0.187967079521161,0.3273230671111414,0.0,0.3357556836404115,0.7408498982028253
A_2_004,A,2,72.13616598246537,108.10925800006925,1.0674140219666655,1.0956660359405594,2.620506548474801,1.0,67.72190914334317,3955.6541942417257,35.620963129412466,0.9793461191526043,,train,2,0.3492511575553346,0.30471847366633564,0.13644255923667364,0.39737863279906166,0.9880735539709267,0.4566533049182494,0.7237922041615341
A_2_005,A,2,37.159115360623716,52.710665482254356,0.35429263644005415,0.5878581522374731,5.423870711097714,0.9903925588684245,38.384091166052826,2071.828398762622,62.28259269586052,0.04423141328043678,,val,2,0.19234233531156053,0.14983506601274527,0.06681223020632228,0.6974752234156759,0.02670833524982841,0.23520771372114296,0.6250642947651628
A_2_006,A,2,78.84796755580777,73.45983060129824,0.33524502157832536,0.5293558178410266,1.9820777136655665,1.0,63.48669283905596,3094.9965238430605,80.54183537240101,0.135370459787843,,val,2,0.29739135715814785,0.28235945794588185,0.1046307659614289,0.9029966624115436,0.12040583442230161,0.352598180185289,0.6868111501267684
A_2_007,A,2,34.00764051140276,120.11785750178078,0.43140362036128943,0.6651098052997639,2.860798535131553,1.0,91.92899783816668,3414.991925213547,73.66959722419857,0.2610972780171562,,val,2,0.6605241508856037,0.4325151758385691,0.11645849713439524,0.8256444798286642,0.24966205223934299,0.40607005126024287,0.8067599028780841
A_2_008,A,2,18.428493886691864,30.127641839204077,0.4737343068811615,1.4790254224411472,4.303500138242106,0.9977456765066661,137.73885827746,4178.050294973829,75.19312384202811,0.6382693456625962,,val,2,0.6935047242140198,0.6743595861647002,0.14466280640931903,0.8427929119072373,0.6374220832071541,0.5748093469221026,0.8494751994368583
A_2_009,A,2,123.44917943500842,94.59274554451939,0.5875546572479919,0.319559124159696,2.633901316242995,1.0,142.34246413189777,1340.5295564273986,61.980659276449614,0.6636170175583433,,train,2,0.40075433533615357,0.6986634441674077,0.03978182265297085,0.6940767368553324,0.6634813142117586,0.5240008294718674,0.7531088243156423
